语言1名称1	语言1名称2	语言2名称1	语言2名称2	语言3名称1	语言3名称2
STRING	STRING	STRING	STRING	STRING	STRING
lang.0.name1	lang.0.name2	lang.1.name1	lang.1.name2	lang.2.name1	lang.2.name2
爱笑的	亚伦	愛笑的	亞倫	Derrick	Barbarkor
有爱的	阿博特	有愛的	阿博特	Devin	Bier
安静的	亚伯	安靜的	亞伯	Dominic	Bird
安详的	阿布纳	安詳的	阿布納	Don	Biterlif
昂贵的	亚伯拉罕	昂貴的	亞伯拉罕	Donahue	Bondno
傲慢的	阿代尔	傲慢的	阿代爾	Donald	Bravul
胖乎乎的	亚当	胖乎乎的	亞當	Douglas	Burlu
标致的	阿狄森	標緻的	阿狄森	Drew	Butik
博学的	阿道夫	博學的	阿道夫	Duke	Celum
不凡的	阿多尼斯	不凡的	阿多尼斯	Duncan	Chener
高挑的	阿德里安	高挑的	阿德里安	Dunn	Chipen
合群的	埃亨	合群的	埃亨	Dwight	Delolmo
宽容的	艾伦	寬容的	艾倫	Dylan	Devum
灵活的	艾伯特	靈活的	亞伯特	Earl	Domet
喜悦的	奥德利奇	喜悅的	奧德利奇	Ed	Ehhum
不满的	艾福雷德	不滿的	亞歷山大	Eden	Emilan
愤怒的	阿尔杰	憤怒的	艾福雷德	Edgar	Enhhoran
粗心的	阿尔杰农	粗心的	阿爾傑	Edmund	Esper
多疑的	阿伦	多疑的	阿爾傑農	Edison	Estrum
冷静的	奥尔斯顿	冷靜的	阿倫	Edward	Fajrer
沉著的	阿尔瓦	沉著的	奧爾斯頓	Edwiin	Famili
乐观的	阿尔文	樂觀的	阿爾瓦	Egbert	Fesanan
成熟的	阿尔维斯	成熟的	阿爾文	Eli	Filopator
迟疑的	阿莫斯	遲疑的	阿爾維斯	Elijah	Fiskan
冲动的	安德烈	衝動的	阿莫斯	Elliot	Flugil
纯洁的	安德鲁	純潔的	安德列	Ellis	Garan
纯真的	安迪	純真的	安德魯	Elmer	Geralan
慈祥的	安吉洛	慈祥的	安迪	Elroy	Gimik
聪明的	安格斯	聰明的	安吉洛	Elton	Glaving
从容的	安塞尔	從容的	安格斯	Elvis	Grinhilt
鲁莽的	安东尼	魯莽的	安塞爾	Emmanuel	Gust
脆弱的	安托万	脆弱的	安東尼	Enoch	Gharden
大方的	安东尼奥	大方的	安東莞	Eric	Hakil
单纯的	阿切尔	單純的	安東尼奧	Ernest	Hark
胆怯的	阿基保尔	膽怯的	阿切爾	Eugene	Haska
胆小的	埃尔瑞斯	膽小的	阿基保爾	Evan	Heldan
淡定的	阿曼德	淡定的	埃爾瑞斯	Everley	Herb
得意的	亚诺	得意的	阿曼德	Fabian	Homar
典雅的	阿诺德	典雅的	亞諾	Felix	Horbek
懂事的	亚瑟	懂事的	阿諾德	Ferdinand	Hhorum
动人的	亚萨	動人的	亞瑟	Fitch	Inkuj
独立的	阿什伯利	獨立的	亞薩	Fitzgerald	Interes
端庄的	阿特伍德	端莊的	阿什伯利	Ford	Irlan
愤慨的	奥布里	憤慨的	阿特伍德	Francis	Ivens
疲倦的	奥格斯特	疲倦的	奧布裡	Frank	Jablich
乏味的	奥古斯汀	乏味的	奧格斯特	Franklin	Jagu
不羁的	艾弗里	不羈的	奧古斯汀	Frederic	Jarum
稚嫩的	贝尔德	稚嫩的	艾弗裡	Gabriel	Junul
优雅的	鲍尔文	優雅的	貝爾德	Gale	Jhurnal
风趣的	班克里夫	風趣的	鮑爾文	Gary	Kamino
福态的	巴德	福態的	班克裡夫	Gavin	Kandeling
自负的	巴洛	自負的	巴德	Gene	Kanjas
土豪的	巴奈特	土豪的	巴羅	Geoffrey	Karlan
感恩的	巴伦	感恩的	巴奈特	Geoff	Klub
干净的	巴瑞特	乾淨的	巴倫	George	Kodlar
高兴的	巴里	高興的	巴瑞特	Gerald	Korjas
高雅的	巴塞洛缪	高雅的	巴里	Gilbert	Kovert
耿直的	巴特	耿直的	巴薩羅繆	Giles	Kradan
孤独的	巴顿	孤獨的	巴特	Glenn	Kredeblo
固定的	巴特利	固定的	巴頓	Goddard	Kruf
固执的	巴泽尔	固執的	巴特利	Godfery	Kudril
乖巧的	毕其尔	乖巧的	巴澤爾	Gordon	Kuirej
果断的	宝儿	果斷的	畢其爾	Greg	Kunul
害羞的	贝克	害羞的	寶兒	Gregary	Kuvan
含蓄的	本	含蓄的	貝克	Griffith	Kvarop
豪放的	本尼迪克	豪放的	本	Grover	Laget
豪爽的	本杰明	豪爽的	本尼迪克	Gustave	Lamris
好奇的	班尼特	好奇的	本傑明	Guy	Land
和平的	班森	和平的	班尼特	Hale	Libret
和气的	伯格	和氣的	班森	Haley	Loghej
和谐的	伯杰	和諧的	伯格	Hamiltion	Lumstel
红润的	伯纳德	紅潤的	伯傑	Hardy	Makavel
欢快的	伯尼	歡快的	伯納德	Harlan	Maksipes
欢乐的	伯特	歡樂的	伯尼	Harley	Marban
欢腾的	伯顿	歡騰的	伯特	Harold	Marist
欢喜的	伯特伦	歡喜的	伯頓	Harriet	Marsaus
欢欣的	贝维斯	歡欣的	伯特倫	Harry	Marum
豁达的	比尔	豁達的	貝維斯	Harvey	Mehhkaprad
活泼的	必应	活潑的	比爾	Hayden	Memorind
敏捷的	毕沙普	敏捷的	必應	Heather	Montum
机智的	布莱克	機智的	畢沙普	Henry	Montril
积极的	布莱斯	積極的	布萊克	Herbert	Nakan
激动的	鲍勃	激動的	布萊斯	Herman	Nomum
坚定的	布斯	堅定的	鮑勃	Hilary	Oktoped
坚强的	博格	堅強的	布斯	Hiram	Ostum
简单的	鲍里斯	簡單的	柏格	Hobart	Paner
简洁的	鲍文	簡潔的	伯里斯	Hogan	Panum
强壮的	博伊斯	強壯的	鮑文	Horace	Pentium
娇柔的	博伊德	嬌柔的	博伊斯	Howar	Pentrist
聪颖的	布拉德利	聰穎的	博伊德	Hubery	Pepian
结实的	布雷迪	結實的	布蘭得利	Hugh	Pilk
谨慎的	布莱登	謹慎的	布萊迪	Hugo	Piruj
惊讶的	布莱恩	驚訝的	布萊登	Humphrey	Pluming
倔强的	布罗德克	倔強的	布萊恩	Hunter	Plumuj
俊朗的	布鲁克	俊朗的	布羅德克	Hyman	Pluver
开朗的	布鲁斯	開朗的	布魯克	Ian	Pomuj
开心的	布鲁诺	開心的	布魯斯	Ingemar	Preghej
可爱的	伯吉斯	可愛的	布魯諾	Ingram	Pulver
可亲的	伯克	可親的	伯吉斯	Ira	Rafnil
快乐的	博内尔	快樂的	伯克	Isaac	Ralfan
快忧的	波顿	快憂的	博內爾	Isidore	Rastagan
老实的	拜伦	老實的	波頓	Ivan	Razil
冷淡的	凯撒	冷淡的	拜倫	Ives	Regnestrum
冷漠的	卡尔文	冷漠的	凱撒	Jack	Regum
玲珑的	凯里	玲瓏的	喀爾文	Jacob	Richul
率直的	凯尔	率直的	凱裡	James	Rukspin
满足的	卡特	滿足的	凱爾	Jared	Sabler
美丽的	凯西	美麗的	卡特	Jason	Saghulo
美满的	塞西尔	美滿的	凱西	Jay	Sagum
美目的	塞德里克	美目的	塞西爾	Jeff	Saist
魅力的	查德	魅力的	塞德里克	Jeffrey	Skatol
迷人的	钱宁	迷人的	查德	Jeremy	Stelum
腼腆的	查普曼	靦腆的	強尼	Jerome	Suker
明快的	查尔斯	明快的	查普曼	Jerry	Shlosil
明亮的	克莱斯特	明亮的	查理斯	Jesse	Shuist
明确的	克里斯汀	明確的	克萊斯特	Jim	Tander
耐心的	克莱尔	耐心的	克裡斯汀	Jo	Terikan
